"","gene","chrom","loc.start","loc.end","description","gene.name","biotype","chrom.strand","chrom.band"
"3","ENSG00000142611","1",3069168,3438621,"PR/SET domain 16 [Source:HGNC Symbol;Acc:HGNC:14000]","PRDM16","protein_coding",1,"p36.32"
"5","ENSG00000157911","1",2403964,2413797,"peroxisomal biogenesis factor 10 [Source:HGNC Symbol;Acc:HGNC:8851]","PEX10","protein_coding",-1,"p36.32"
"12","ENSG00000142655","1",10472288,10630758,"peroxisomal biogenesis factor 14 [Source:HGNC Symbol;Acc:HGNC:8856]","PEX14","protein_coding",1,"p36.22"
"16","ENSG00000149527","1",2425980,2505532,"phospholipase C eta 2 [Source:HGNC Symbol;Acc:HGNC:29037]","PLCH2","protein_coding",1,"p36.32"
"18","ENSG00000171621","1",9292894,9369532,"splA/ryanodine receptor domain and SOCS box containing 1 [Source:HGNC Symbol;Acc:HGNC:30628]","SPSB1","protein_coding",1,"p36.22"
"22","ENSG00000142583","1",9035106,9088478,"solute carrier family 2 member 5 [Source:HGNC Symbol;Acc:HGNC:11010]","SLC2A5","protein_coding",-1,"p36.23"
"29","ENSG00000173614","1",9943428,9985501,"nicotinamide nucleotide adenylyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:17877]","NMNAT1","protein_coding",1,"p36.22"
"33","ENSG00000162592","1",3746460,3771645,"coiled-coil domain containing 27 [Source:HGNC Symbol;Acc:HGNC:26546]","CCDC27","protein_coding",1,"p36.32"
"34","ENSG00000204624","1",11479155,11537551,"dispatched RND transporter family member 3 [Source:HGNC Symbol;Acc:HGNC:29251]","DISP3","protein_coding",1,"p36.22"
"35","ENSG00000142606","1",2590639,2633016,"membrane metalloendopeptidase like 1 [Source:HGNC Symbol;Acc:HGNC:14668]","MMEL1","protein_coding",-1,"p36.32"
"37","ENSG00000171729","1",15152532,15220478,"transmembrane protein 51 [Source:HGNC Symbol;Acc:HGNC:25488]","TMEM51","protein_coding",1,"p36.21"
"40","ENSG00000037637","1",16246840,16352480,"F-box protein 42 [Source:HGNC Symbol;Acc:HGNC:29249]","FBXO42","protein_coding",-1,"p36.13"
"42","ENSG00000159423","1",18871430,18902724,"aldehyde dehydrogenase 4 family member A1 [Source:HGNC Symbol;Acc:HGNC:406]","ALDH4A1","protein_coding",-1,"p36.13"
"45","ENSG00000157916","1",2391775,2405442,"retention in endoplasmic reticulum sorting receptor 1 [Source:HGNC Symbol;Acc:HGNC:30309]","RER1","protein_coding",1,"p36.32"
"46","ENSG00000157881","1",2508537,2526597,"pantothenate kinase 4 (inactive) [Source:HGNC Symbol;Acc:HGNC:19366]","PANK4","protein_coding",-1,"p36.32"
"49","ENSG00000048707","1",12230030,12512047,"vacuolar protein sorting 13 homolog D [Source:HGNC Symbol;Acc:HGNC:23595]","VPS13D","protein_coding",1,"p36.22"
"51","ENSG00000162444","1",9997206,10016021,"retinol binding protein 7 [Source:HGNC Symbol;Acc:HGNC:30316]","RBP7","protein_coding",1,"p36.22"
"53","ENSG00000180758","1",9100305,9129102,"G protein-coupled receptor 157 [Source:HGNC Symbol;Acc:HGNC:23687]","GPR157","protein_coding",-1,"p36.22"
"54","ENSG00000184677","1",22428838,22531157,"zinc finger and BTB domain containing 40 [Source:HGNC Symbol;Acc:HGNC:29045]","ZBTB40","protein_coding",1,"p36.12"
"58","ENSG00000131697","1",5862811,5992473,"nephrocystin 4 [Source:HGNC Symbol;Acc:HGNC:19104]","NPHP4","protein_coding",-1,"p36.31"
"63","ENSG00000197921","1",2528745,2530263,"hes family bHLH transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:19764]","HES5","protein_coding",-1,"p36.32"
